gc,length,umap_1,umap_2
38.85407663497551,27768,0.037411463,6.9174376
37.60489261840421,14062,0.062697254,6.839735
40.27450980392157,71400,-0.023601014,6.7502337
42.767160984558934,32705,0.2820411,7.2324595
39.16165718927701,30775,-0.105604604,6.961811
39.21561604584527,27920,0.275133,7.0003705
41.69520012158381,111857,-0.24434999,6.8655066
40.288595556284335,85379,0.22860213,6.619984
40.9374846293837,20331,0.02997516,6.5238857
42.94117647058823,3910,0.3627658,6.981818
39.442076714451765,7743,0.19023909,7.2288237
40.246338215712385,6008,0.24377283,6.9832335
40.528105621124226,4999,0.1608669,7.054948
38.33297156500977,4607,0.10520539,6.731535
38.455846077947704,4054,0.4187204,6.971348
41.99341425207003,469195,0.23529218,6.7136493
39.963318159720686,226270,0.35358727,6.614759
41.59068865179437,211355,0.40938658,6.8413973
39.779606757599126,189298,0.3256316,6.660885
41.038376469675214,180397,0.45704207,6.528892
42.024373601005045,156809,0.4005215,6.7611904
41.71300970209271,116882,0.48021394,6.8263125
43.13350873936919,91597,0.57319856,7.0690665
43.19189527004802,76005,0.096565425,7.0355196
40.53148484766272,73718,0.37752044,6.6582947
41.69383376522054,71778,0.34266135,6.7004213
43.361846523629424,56582,0.35121453,7.0957184
41.12670195797406,43259,-0.14858913,7.8868437
41.78142050688523,42337,-1.788711,7.17202
39.64992389649924,17082,-1.5992391,6.890567
37.68693918245264,12036,-2.0113463,6.3930635
38.95679118609055,5809,0.54025203,6.495799
43.3194361723248,5037,-0.5104706,5.0598607
37.46556473829201,3630,-0.5300782,7.8531027
40.63193381948722,301962,-0.9509627,7.6589575
42.31720952398409,272785,0.29202175,7.709288
40.267757782451035,236333,-1.7698147,7.072255
40.95207227229699,194376,0.52763563,7.6731367
40.7554379776602,183708,0.53165275,7.4588556
42.75781394543816,167553,-1.6626848,6.730538
40.13674734845109,157078,0.2779141,7.8045106
39.717852378405205,155167,0.31176487,7.9585285
42.191853422168386,132080,-1.8635938,6.7722397
43.47965962648994,124334,-0.3756778,7.8445163
41.69231156242401,119257,-1.6362295,6.5093226
42.81004970778478,96162,-0.24137609,7.2439265
42.02296242400325,81089,-1.1029608,7.5575414
44.65036512502766,72304,-1.26132,7.4275093
40.664136960433254,56133,-0.8827853,6.595712
40.820681530219844,44987,-1.4622394,6.9177513
38.64223098527618,35249,-0.9679351,6.5200686
42.05826379739423,34155,-1.2501067,6.7099776
43.172077922077925,30800,-1.0571368,6.491878
41.28509719222462,27780,0.21189554,6.1041846
40.388725621159494,14972,0.6328507,7.1954947
42.273303839371344,32323,0.41697916,6.4609256
41.821384534084906,28385,1.0357039,7.1833005
36.420560377283714,25233,-0.8138213,6.5949297
38.09674217128418,22162,0.6240368,6.7972584
37.65237638679633,21903,0.76170456,6.6403766
40.96161013790533,21464,-0.5387993,6.2042685
42.153779416549185,18442,0.53328645,7.528376
37.356735507446984,18061,-0.7836051,6.41302
37.98074011265217,16511,-0.75059724,6.2227077
40.84274654143927,15758,-0.5461112,6.461315
45.36832966005476,14973,0.6373757,6.314664
37.198862786173876,13366,0.35926437,7.69748
42.62049321640057,13341,-0.5292787,6.2818036
41.30483689538808,13335,0.30290484,6.3898406
40.827466181472985,12641,0.5007983,6.7380247
36.00749446431613,11742,0.34472013,6.520712
38.67337368914656,11729,-0.3622253,6.179007
39.8117244330338,11685,-0.80062217,6.682107
40.429386719811575,11039,-1.0344751,6.236683
43.43955014058107,8536,-0.5920448,6.269422
41.88759278897137,8487,-0.29546908,6.483571
45.039706056655206,8437,-0.7665405,6.684402
41.33669306455484,8334,0.3126972,6.4528375
37.59645061728395,5184,0.34279057,6.3278246
41.105651105651106,8140,-0.8965728,6.3369985
38.97269180754226,7690,-0.5937769,7.5569854
35.75994781474233,7665,-0.54409635,6.7019978
38.06159932184233,3539,0.110640645,6.558611
41.447104453657886,7477,0.47388336,6.7958813
42.19386369807222,7366,-0.5545117,6.3589354
46.80044905978108,7126,-0.12033631,6.6280804
40.24201491487266,7107,0.33501688,6.9321756
36.91073219658977,6979,0.13981,6.9905457
41.10484110484111,6734,-0.04697246,6.472343
39.53594871012059,6551,-0.31817377,6.8893747
